ID;Hora de inicio;Hora de finalización;Correo electrónico;Nombre;¿En qué momento de la charla está llenando la encuesta;¿Cuál es el rango de tu edad?;¿De dónde es tu procedencia natal?;¿Cuál es tu genero?;¿Actualmente cuentas con un trabajo?;¿Qué carrera está cursando?;¿En qué año de la carrera estás?;¿Te consideras autodidacta?;Científicos;Tecnológicos;Matemáticos;Literarios;¿Consideras que el tiempo que dispones para estudiar es muy poco?;¿Tiene buen acceso a internet?;¿Cuál es la gama de tu computadora?;¿Qué nivel de habilidades de programación consideras tener para desarrollar aplicaciones simples?;¿Con cúales de los siguientes lenguajes de programación has desarrollado un proyecto?;Fisica Cuántica;Arquitectura de computadoras;Programación;Diseño de Compiladores;Matemáticas;¿Qué tan informado te sientes sobre los últimos avances científicos y tecnológicos?;¿Crees que la información científica está disponible y accesible para la población en general?;¿Has participado alguna vez en eventos de divulgación científica, como charlas, conferencias o ferias?;¿En qué ámbitos se alinean las charlas y conferencias a las cuales has asistido?;¿Cómo clasificarías el nivel de divulgación científica en la sociedad actual?;¿Crees que la falta de interés del público es la principal causa de la poca divulgación científica?;¿Crees que la falta de presupuesto es la principal causa de la poca divulgación científica?;¿Crees que las universidades deberían incluir más contenido científico en su currículo?;¿Crees que las universidades deberían incluir más contenido profesionalizante en su currículo?;"Según lo que consideres, ¿Cuál es el grado de responsabilidad en la divulgación científica de los siguientes involucrados? 
63;4/18/23 19:03:45;4/18/23 19:07:52;anonymous;;Antes de la Charla;17-21;Zona Urbana;Masculino;No;Ingeniería en Sistemas;4to año;Si;4;5;3;2;No;Si;Media;Nivel Bajo;"Python;JavaScript;C++;Go;";Nulo;Bajo;Medio;Nulo;Alto;3;Si;No;;Media;Si;;Si;Si;"Científicos;Jefe de Departamento;Docentes;Estudiantes;Público en general;";Si;3;1;Si;Si;Si;Si;Si;No se incentiva;;;;;;;;;;;;;;;;
64;4/18/23 19:04:37;4/18/23 19:08:16;anonymous;;Antes de la Charla;22-27;Zona Urbana;Femenino;Si;Ingeniería en Sistemas;3er año;Si;5;5;4;4;Si;Si;Media;Nivel Bajo;"C++;JavaScript;";Bajo;Bajo;Bajo;Bajo;Medio;3;No;No;;Baja;Si;;Si;Si;"Científicos;Docentes;Jefe de Departamento;Estudiantes;Público en general;";No;;1;No se;Si;Si;Si;Si;No se incentiva;;;;;;;;;;;;;;;;
65;4/18/23 19:03:59;4/18/23 19:08:45;anonymous;;Antes de la Charla;22-27;Zona Urbana;Masculino;No;Ingeniería en Sistemas;4to año;No;2;4;3;5;No;Si;Alta;Nivel Bajo;"JavaScript;C++;";Nulo;Medio;Medio;Nulo;Medio;4;No;No;;Baja;Si;;Si;Si;"Científicos;Jefe de Departamento;Docentes;Estudiantes;Público en general;";No;;1;No se;No se;No se;No se;Si;Si se incentiva;;;;;;;;;;;;;;;;
66;4/18/23 19:05:16;4/18/23 19:10:00;anonymous;;Antes de la Charla;28-32;Zona Urbana;Masculino;Si;Ingeniería en Sistemas;4to año;Si;5;5;4;3;Si;Si;Media;Nivel Bajo;"PHP;C#;C++;";Bajo;Medio;Medio;Bajo;Medio;3;No;No;;Media;Si;;Si;Si;"Científicos;Jefe de Departamento;Docentes;Estudiantes;Público en general;";No;;1;No se;No se;No se;No se;Si;No se incentiva;;;;;;;;;;;;;;;;
67;4/18/23 19:07:07;4/18/23 19:10:06;anonymous;;Antes de la Charla;28-32;Zona Urbana;Masculino;Si;Ingeniería en Sistemas;4to año;Si;4;4;2;3;Si;Si;Media;Nivel Medio;"JavaScript;PHP;C++;";Bajo;Bajo;Bajo;Bajo;Bajo;3;No;No;;Media;Si;;Si;Si;"Jefe de Departamento;Docentes;Científicos;Estudiantes;Público en general;";Si;3;3;No;Si;Si;Si;Si;No se incentiva;;;;;;;;;;;;;;;;
68;4/18/23 19:08:07;4/18/23 19:10:20;anonymous;;Antes de la Charla;22-27;Zona Urbana;Masculino;Si;Ingeniería en Sistemas;4to año;Si;3;5;1;1;Si;Si;Alta;Nivel Bajo;"JavaScript;";Bajo;Bajo;Bajo;Bajo;Medio;4;No;Si;"Tecnológicas;";Media;Si;;Si;Si;"Científicos;Jefe de Departamento;Público en general;Docentes;Estudiantes;";No;;3;Si;Si;Si;Si;No;No se incentiva;;;;;;;;;;;;;;;;
69;4/18/23 19:06:16;4/18/23 19:13:01;anonymous;;Antes de la Charla;28-32;Zona Rural;Masculino;No;Ingeniería en Sistemas;4to año;No;2;5;4;3;No;Si;Alta;Nivel Bajo;"C++;Java;";Bajo;Medio;Medio;Bajo;Alto;4;No;No;;Baja;No;Si;Si;Si;"Científicos;Jefe de Departamento;Docentes;Estudiantes;Público en general;";No;;1;Si;Si;Si;Si;Si;No se incentiva;;;;;;;;;;;;;;;;
70;4/18/23 18:53:17;4/18/23 19:14:23;anonymous;;Antes de la Charla;Más de 32;Zona Urbana;Femenino;Si;Ingeniería en Sistemas;4to año;Si;3;3;3;2;Si;No;Media;Nivel Medio;"Python;C++;";Nulo;Bajo;Bajo;Bajo;Bajo;2;No;Si;"Fisicas;Tecnológicas;";Baja;Si;;Si;Si;"Científicos;Jefe de Departamento;Docentes;Estudiantes;Público en general;";Si;4;1;No se;Si;Si;Si;Si;No se incentiva;;;;;;;;;;;;;;;;
17;4/1/23 9:41:56;4/1/23 9:42:34;anonymous;;Después de la Charla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;Si;Si;Si;Si;Si;Si se incentiva;"Arquitectura de Computadores;Diseño Digital;Inteligencia Artificial;";3;Si;Muy alto;Muy alto;Muy alto;Muy alto;Muy alto;Muy alto;"Sistemas Operativos II;Base de datos II;Arquitectura de Computadores;Diseño Digital;Compiladores;";Si;Solo si es gratis;Si;"Fundamentos computación clásica;Fundamentos Computación Cuántica;Aplicaciones de la Cuántica;Ejemplos y Soluciones;";Si;5
18;4/1/23 9:41:15;4/1/23 9:42:54;anonymous;;Después de la Charla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;Si;Si;Si;Si;Si;Si se incentiva;"Arquitectura de Computadores;Diseño Digital;Inteligencia Artificial;";4;Si;Medio;Alto;Alto;Medio;Alto;Alto;"Base de datos II;Diseño Digital;Compiladores;";Si;Solo si es gratis;Si;"Aplicaciones de la Cuántica;";Si;5
19;4/1/23 9:41:16;4/1/23 9:43:17;anonymous;;Después de la Charla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;Si;Si;Si;Si;Si;No se incentiva;"Diseño Digital;Inteligencia Artificial;Arquitectura de Computadores;";2;Si;Medio;Medio;Alto;Poco;Poco;Poco;"Sistemas Operativos II;Base de datos II;Diseño Digital;Arquitectura de Computadores;Compiladores;";Si;Pagaría solo si es barato;Si;"Ejemplos y Soluciones;";Si;3
20;4/1/23 9:41:14;4/1/23 9:43:26;anonymous;;Después de la Charla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;Si;Si;Si;Si;Si;Si se incentiva;"Arquitectura de Computadores;Diseño Digital;Inteligencia Artificial;";5;Si;Muy alto;Muy alto;Muy alto;Muy alto;Muy alto;Muy alto;"Sistemas Operativos II;Arquitectura de Computadores;Diseño Digital;Compiladores;Base de datos II;";Si;Pagaría solo si es barato;Si;"Aplicaciones de la Cuántica;Ejemplos y Soluciones;";Si;5
21;4/1/23 9:40:43;4/1/23 9:43:46;anonymous;;Después de la Charla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;Si;Si;Si;Si;Si;No se incentiva;"Arquitectura de Computadores;Diseño Digital;Inteligencia Artificial;";3;No;Medio;Alto;Alto;Nada;Nada;Medio;"Sistemas Operativos II;Base de datos II;Arquitectura de Computadores;Diseño Digital;Compiladores;";Si;Solo si es gratis;Si;"Fundamentos Computación Cuántica;";Si;4
22;4/1/23 9:42:57;4/1/23 9:45:28;anonymous;;Después de la Charla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;Si;Si;Si;Si;Si;No se incentiva;"Inteligencia Artificial;Arquitectura de Computadores;";4;Si;Alto;Muy alto;Medio;Medio;Alto;Medio;"Arquitectura de Computadores;Compiladores;";Si;Pagaría solo si es barato;Si;"Aplicaciones de la Cuántica;";Si;5
32;4/13/23 18:28:55;4/13/23 18:31:03;anonymous;;Después de la Charla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;Si;Si;Si;Si;Si;No se incentiva;"Inteligencia Artificial;Arquitectura de Computadores;";4;Si;Medio;Muy alto;Alto;Poco;Muy alto;Medio;"Sistemas Operativos II;Diseño Digital;Arquitectura de Computadores;";Si;Solo si es gratis;Si;"Aplicaciones de la Cuántica;";Si;4
33;4/13/23 18:29:13;4/13/23 18:31:06;anonymous;;Después de la Charla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;Si;Si;Si;Si;Si;No se incentiva;"Arquitectura de Computadores;Inteligencia Artificial;Diseño Digital;";3;Si;Poco;Poco;Poco;Poco;Poco;Poco;"Sistemas Operativos II;Base de datos II;Arquitectura de Computadores;Diseño Digital;Compiladores;";Si;Solo si es gratis;Si;"Fundamentos computación clásica;Fundamentos Computación Cuántica;Aplicaciones de la Cuántica;Ejemplos y Soluciones;";Si;4
34;4/13/23 18:28:44;4/13/23 18:31:12;anonymous;;Después de la Charla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;Si;Si;Si;Si;Si;No se incentiva;"Arquitectura de Computadores;Inteligencia Artificial;";5;Si;Medio;Medio;Medio;Poco;Medio;Poco;"Arquitectura de Computadores;";Si;Solo si es gratis;Si;"Fundamentos Computación Cuántica;";Si;4
35;4/13/23 18:22:56;4/13/23 18:32:10;anonymous;;Después de la Charla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;No se;No se;Si;Si;No;Si se incentiva;"Inteligencia Artificial;";2;Si;Medio;Alto;Alto;Alto;Muy alto;Muy alto;"Arquitectura de Computadores;";Si;Pagaría solo si es barato;Si;"Aplicaciones de la Cuántica;Fundamentos computación clásica;";Si;4
36;4/13/23 18:28:53;4/13/23 18:32:26;anonymous;;Después de la Charla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;Si;Si;Si;Si;Si;No se incentiva;"Arquitectura de Computadores;Diseño Digital;Inteligencia Artificial;";4;Si;Muy alto;Muy alto;Muy alto;Muy alto;Muy alto;Muy alto;"Sistemas Operativos II;Diseño Digital;Arquitectura de Computadores;";Si;Solo si es gratis;Si;"Ejemplos y Soluciones;";Si;5
38;4/13/23 18:31:51;4/13/23 18:35:21;anonymous;;Después de la Charla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;No se;Si;No se;No se;No;No se incentiva;"Inteligencia Artificial;";3;Si;Alto;Alto;Muy alto;Alto;Muy alto;Muy alto;"Arquitectura de Computadores;Compiladores;Diseño Digital;";Si;Solo si es gratis;Si;"Fundamentos Computación Cuántica;";No;2
39;4/14/23 13:26:16;4/14/23 13:28:03;anonymous;;Después de la Charla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;Si;No se;Si;Si;Si;Si se incentiva;"Inteligencia Artificial;";3;Si;Alto;Medio;Alto;Poco;Medio;Alto;"Arquitectura de Computadores;Base de datos II;Sistemas Operativos II;";Si;Solo si es gratis;Si;"Aplicaciones de la Cuántica;";Si;5
40;4/14/23 13:28:08;4/14/23 13:29:41;anonymous;;Después de la Charla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;No se;No se;No se;No se;No;No se incentiva;"Diseño Digital;Inteligencia Artificial;";5;Si;Medio;Poco;Alto;Poco;Muy alto;Medio;"Diseño Digital;Compiladores;";Si;Pagaría solo si es barato;Si;"Fundamentos Computación Cuántica;";Si;5
49;4/18/23 18:41:17;4/18/23 18:49:00;anonymous;;Después de la Charla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;No se;Si;Si;Si;No;Si se incentiva;"Arquitectura de Computadores;Inteligencia Artificial;Diseño Digital;";3;Si;Medio;Alto;Alto;Alto;Alto;Alto;"Arquitectura de Computadores;Diseño Digital;Compiladores;Sistemas Operativos II;";Si;Solo si es gratis;Si;"Fundamentos Computación Cuántica;Aplicaciones de la Cuántica;";Si;5
51;4/18/23 18:46:21;4/18/23 18:49:08;anonymous;;Después de la Charla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;Si;Si;Si;Si;Si;Si se incentiva;"Arquitectura de Computadores;";5;Si;Muy alto;Muy alto;Muy alto;Muy alto;Muy alto;Muy alto;"Arquitectura de Computadores;Diseño Digital;Compiladores;";Si;Pagaría solo si es barato;Si;"Fundamentos computación clásica;";Si;5
52;4/18/23 18:46:15;4/18/23 18:49:18;anonymous;;Después de la Charla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;No;Si;Si;Si;No;No se incentiva;"Diseño Digital;Inteligencia Artificial;Arquitectura de Computadores;";5;Si;Muy alto;Muy alto;Muy alto;Muy alto;Muy alto;Muy alto;"Sistemas Operativos II;Base de datos II;Arquitectura de Computadores;Diseño Digital;Compiladores;";Si;Solo si es gratis;Si;"Fundamentos Computación Cuántica;Ejemplos y Soluciones;";Si;5
53;4/18/23 18:46:41;4/18/23 18:49:21;anonymous;;Después de la Charla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;Si;Si;Si;Si;No;Si se incentiva;"Diseño Digital;Arquitectura de Computadores;Inteligencia Artificial;";3;Si;Alto;Alto;Muy alto;Alto;Alto;Alto;"Sistemas Operativos II;Arquitectura de Computadores;Diseño Digital;Compiladores;Base de datos II;";Si;Pagaría sin importar el precio;Si;"Aplicaciones de la Cuántica;";Si;5
54;4/18/23 18:46:38;4/18/23 18:49:42;anonymous;;Después de la Charla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;Si;No se;Si;Si;Si;No se incentiva;"Arquitectura de Computadores;Diseño Digital;Inteligencia Artificial;";2;Si;Alto;Alto;Alto;Alto;Alto;Alto;"Sistemas Operativos II;Arquitectura de Computadores;Diseño Digital;";No;No;Si;"Fundamentos computación clásica;";No;2
55;4/18/23 18:38:38;4/18/23 18:50:04;anonymous;;Después de la Charla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;Si;Si;Si;Si;Si;No se incentiva;"Arquitectura de Computadores;Diseño Digital;Inteligencia Artificial;";4;Si;Medio;Muy alto;Muy alto;Alto;Muy alto;Muy alto;"Sistemas Operativos II;Arquitectura de Computadores;Diseño Digital;Base de datos II;Compiladores;";Si;Pagaría solo si es barato;Si;"Fundamentos Computación Cuántica;";Si;5
56;4/18/23 18:48:35;4/18/23 18:50:15;anonymous;;Después de la Charla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;Si;Si;Si;Si;Si;No se incentiva;"Arquitectura de Computadores;Diseño Digital;";3;Si;Medio;Muy alto;Muy alto;Poco;Muy alto;Muy alto;"Arquitectura de Computadores;Diseño Digital;";Si;Solo si es gratis;Si;"Fundamentos Computación Cuántica;";Si;4
57;4/18/23 18:48:01;4/18/23 18:50:45;anonymous;;Después de la Charla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;Si;Si;Si;Si;Si;No se incentiva;"Diseño Digital;Inteligencia Artificial;Arquitectura de Computadores;";5;Si;Medio;Muy alto;Muy alto;Medio;Muy alto;Muy alto;"Diseño Digital;Compiladores;Arquitectura de Computadores;";Si;Pagaría solo si es barato;Si;"Aplicaciones de la Cuántica;";Si;5
58;4/18/23 18:49:33;4/18/23 18:53:00;anonymous;;Después de la Charla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;Si;Si;Si;Si;Si;Si se incentiva;"Arquitectura de Computadores;Diseño Digital;Inteligencia Artificial;";3;Si;Medio;Medio;Medio;Medio;Poco;Medio;"Sistemas Operativos II;Base de datos II;Arquitectura de Computadores;Diseño Digital;Compiladores;";Si;Pagaría solo si es barato;Si;"Fundamentos Computación Cuántica;";Si;5
59;4/18/23 18:48:18;4/18/23 18:53:05;anonymous;;Después de la Charla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;Si;Si;Si;Si;No;Si se incentiva;"Arquitectura de Computadores;Diseño Digital;Diseño;";5;Si;Medio;Medio;Medio;Nada;Nada;Medio;"Arquitectura de Computadores;Diseño Digital;";Si;Solo si es gratis;Si;"Fundamentos computación clásica;Aplicaciones de la Cuántica;Ejemplos y Soluciones;";Si;5
60;4/18/23 18:50:12;4/18/23 18:53:38;anonymous;;Después de la Charla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;Si;Si;Si;Si;Si;Si se incentiva;"Arquitectura de Computadores;Diseño Digital;Inteligencia Artificial;";3;Si;Medio;Medio;Medio;Medio;Poco;Medio;"Sistemas Operativos II;Base de datos II;Arquitectura de Computadores;Diseño Digital;Compiladores;";Si;Pagaría solo si es barato;Si;"Fundamentos Computación Cuántica;";Si;5
71;4/18/23 19:08:45;4/18/23 19:17:11;anonymous;;Antes de la Charla;17-21;Zona Urbana;Femenino;No;Ingeniería en Sistemas;4to año;No;4;5;2;1;Si;Si;Media;Nivel Medio;"Python;JavaScript;Java;";Nulo;Bajo;Medio;Bajo;Bajo;1;Si;Si;"Tecnológicas;";Baja;Si;;Si;Si;"Docentes;Científicos;Jefe de Departamento;Estudiantes;Público en general;";Si;3;1;No se;Si;Si;Si;Si;No se incentiva;;;;;;;;;;;;;;;;
81;4/18/23 19:31:56;4/18/23 19:35:30;anonymous;;Antes de la Charla;22-27;Zona Rural;Masculino;No;Ingeniería en Sistemas;4to año;Si;4;5;3;4;Si;Si;Media;Nivel Medio;"JavaScript;PHP;C++;";Bajo;Medio;Alto;Medio;Medio;3;Si;No;;Baja;Si;;Si;Si;"Científicos;Público en general;Docentes;Estudiantes;Jefe de Departamento;";Si;4;2;No;Si;Si;Si;No;No se incentiva;;;;;;;;;;;;;;;;
83;4/29/23 19:01:11;4/29/23 19:03:39;anonymous;;Antes de la Charla;22-27;Zona Rural;Femenino;Si;Ingeniería en Sistemas;5to año o más;No;4;5;3;3;Si;Si;Media;Nivel Medio;"Python;JavaScript;C++;";Bajo;Medio;Medio;Medio;Bajo;3;Si;No;;Baja;Si;;Si;Si;"Científicos;Docentes;Estudiantes;Público en general;Jefe de Departamento;";No;;3;Si;Si;Si;Si;No;No se incentiva;;;;;;;;;;;;;;;;
72;4/18/23 19:15:54;4/18/23 19:17:18;anonymous;;Después de la Charla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;No se;Si;Si;Si;No;No se incentiva;"Arquitectura de Computadores;Diseño Digital;Inteligencia Artificial;";5;Si;Muy alto;Muy alto;Muy alto;Alto;Muy alto;Muy alto;"Sistemas Operativos II;Arquitectura de Computadores;Diseño Digital;Compiladores;";Si;Pagaría solo si es barato;Si;"Fundamentos computación clásica;Fundamentos Computación Cuántica;Aplicaciones de la Cuántica;";Si;5
73;4/18/23 19:15:49;4/18/23 19:17:23;anonymous;;Después de la Charla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;Si;Si;Si;Si;Si;No se incentiva;"Arquitectura de Computadores;Inteligencia Artificial;";3;Si;Medio;Muy alto;Alto;Alto;Muy alto;Muy alto;"Compiladores;Diseño Digital;Arquitectura de Computadores;Sistemas Operativos II;Base de datos II;";Si;Solo si es gratis;Si;"Fundamentos Computación Cuántica;Aplicaciones de la Cuántica;Ejemplos y Soluciones;";Si;5
74;4/18/23 19:16:11;4/18/23 19:17:33;anonymous;;Después de la Charla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;Si;Si;Si;Si;Si;Si se incentiva;"Arquitectura de Computadores;Diseño Digital;";3;Si;Muy alto;Muy alto;Alto;Alto;Muy alto;Alto;"Arquitectura de Computadores;Diseño Digital;";Si;Solo si es gratis;Si;"Aplicaciones de la Cuántica;";Si;5
75;4/18/23 19:16:07;4/18/23 19:18:05;anonymous;;Después de la Charla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;No;Si;Si;Si;No;No se incentiva;"Arquitectura de Computadores;Diseño Digital;Inteligencia Artificial;";5;Si;Muy alto;Muy alto;Muy alto;Alto;Muy alto;Muy alto;"Arquitectura de Computadores;Diseño Digital;";Si;Solo si es gratis;Si;"Aplicaciones de la Cuántica;";Si;5
76;4/18/23 19:15:51;4/18/23 19:18:22;anonymous;;Después de la Charla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;Si;Si;Si;Si;Si;No se incentiva;"Arquitectura de Computadores;";3;Si;Alto;Muy alto;Medio;Nada;Poco;Alto;"Sistemas Operativos II;Arquitectura de Computadores;";Si;Solo si es gratis;Si;"Fundamentos Computación Cuántica;Ejemplos y Soluciones;Aplicaciones de la Cuántica;";Si;5
77;4/18/23 19:16:50;4/18/23 19:19:31;anonymous;;Después de la Charla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;No;Si;No se;Si;Si;Si se incentiva;"Arquitectura de Computadores;Diseño Digital;";5;Si;Medio;Muy alto;Muy alto;Medio;Muy alto;Muy alto;"Sistemas Operativos II;Arquitectura de Computadores;Diseño Digital;Compiladores;";Si;Solo si es gratis;Si;"Fundamentos Computación Cuántica;Ejemplos y Soluciones;";Si;5
78;4/18/23 19:16:13;4/18/23 19:19:50;anonymous;;Después de la Charla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;No se;Si;Si;Si;Si;No se incentiva;"Arquitectura de Computadores;Inteligencia Artificial;";4;Si;Medio;Muy alto;Alto;Medio;Medio;Poco;"Arquitectura de Computadores;Diseño Digital;Base de datos II;";Si;No;Si;"Aplicaciones de la Cuántica;";Si;5
79;4/18/23 19:17:13;4/18/23 19:20:22;anonymous;;Después de la Charla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;No se;Si;Si;Si;No;No se incentiva;"Arquitectura de Computadores;Diseño Digital;Inteligencia Artificial;La mayoria o todas;";5;Si;Muy alto;Muy alto;Muy alto;Poco;Medio;Medio;"Arquitectura de Computadores;Diseño Digital;Compiladores;Base de datos II;Sistemas Operativos II;";Si;Solo si es gratis;Si;"Aplicaciones de la Cuántica;";Si;4
80;4/18/23 19:16:52;4/18/23 19:20:51;anonymous;;Después de la Charla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;Si;Si;Si;Si;Si;Si se incentiva;"Arquitectura de Computadores;Diseño Digital;Inteligencia Artificial;";4;Si;Alto;Alto;Alto;Poco;Medio;Medio;"Arquitectura de Computadores;Diseño Digital;Compiladores;Base de datos II;";Si;Solo si es gratis;Si;"Fundamentos Computación Cuántica;Aplicaciones de la Cuántica;";Si;4
82;4/18/23 19:35:34;4/18/23 19:37:42;anonymous;;Después de la Charla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;No;Si;Si;Si;No;No se incentiva;"Inteligencia Artificial;Arquitectura de Computadores;Diseño Digital;";4;Si;Alto;Alto;Muy alto;Muy alto;Alto;Muy alto;"Compiladores;Arquitectura de Computadores;Sistemas Operativos II;Diseño Digital;";Si;Solo si es gratis;Si;"Fundamentos Computación Cuántica;Aplicaciones de la Cuántica;";Si;5
84;4/29/23 19:03:44;4/29/23 19:05:02;anonymous;;Después de la Charla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;Si;Si;Si;Si;No;No se incentiva;"Diseño Digital;Inteligencia Artificial;";3;Si;Alto;Alto;Alto;Poco;Alto;Medio;"Sistemas Operativos II;Base de datos II;Arquitectura de Computadores;Compiladores;";Si;Solo si es gratis;Si;"Fundamentos Computación Cuántica;Aplicaciones de la Cuántica;";Si;5
